Komen,klasifikasi
cantik tiada duanya. setuju. sangat setuju. yesss,0
Cantik teh??. Semangat terus aku cuman bisa berdoa untuk teteh yang imut dan cantik,0
Cantikk buanget kak @ayutingting92,0
Cantikkk bingittttt....,0
masyallah auranya..,0
Cantik amat foto yg ini??,0
Cantiknya,0
"Cantik ,lebih cantik jiga baju nya tertutup ??",0
Mantap Cantik ....,0
aduh aurat mu neng.....,0
Mbak...saya sangat mengagumin kesederhanaan mbak ayu yg dlu....tidak terbuka seperti ini,0
Kereeennn ka...??,0
Look at you every time,0
OMG sungguh luar biasa chyaantiik ....,0
Fotonya gitu sih....hai kaum perempuan lindungilah aurai dari karena Allah,0
Istimewa,0
Keren,0
Cantik sekali,0
"Kenapa sih kamu kelewatan banget,kelewatan cantiknya...wkwkwkwkk",0
Ayu selalu Ayu cantik tidak berubah,0
"@ayutingting92 ya aku melihat mu,krn km sempurna",0
"Dan pada waktu nya setiap pakaian yg di anggap indah itu,akan di gantikan dg kain kafan????????????",0
"Suka yaa kak, ditontonin orang pake baju gtu..",0
"Ga.. ada dua nya,anugrah illahi..????",0
kece badai,0
Baju yg sedikit tertutup dong bu ayu..,0
Masya allah cantik ayu sheikh,0
Catik nya ba ayu,0
Perawatan dimana kak ayu?,0
Cantik amat kakak??,0
"Jgn di puji tp di ingatin aja, agar bisa lebih baik...??",0
??cocok bgt kak,0
Mantab jiwa...,0
Cantik,0
Cantik nyeeee..,0
Wow cantik banget ayy????,0
Cantik nya mbak ayu,0
???? cuco makeupx???? kelihatan beda banget dari yg biasawx. I like it.,0
Wah cntik sekali????,0
Cakep bet,0
Aduuuh cantiiknya bunda Biqis??????,0
"Jang pake baju itu deh,",0
??????k ayu cantik banget????,0
Cantik banget Ng Ayu ..????,0
Cantiknya ????,0
Neng Ayu tmbh cantiiik,0
Cantiknya bnget.,0
?????? cantik,0
cantik mbak yu,0
Tertutup pasti lbih elegan dan cntik,0
Ka ayu lebih cantik menggunakan pkaian tertutup tidak kah ka ayu sayang pada orng tuanya lantaran ka ayu gk nenutup aurat,0
Mbk ayuuuuu cuantikkkkk,0
Keren kak,0
Kapan nikah lagi bu,0
Berkelas internasional,0
??gaas,0
Korea banget,0
Kk ayatingting cantik ????,0
Astagfirullah ini maksiat besar?????? bertaubatlah karena rasulullah liat ummatnya begini pasti hatinya hancur astagfirullah,0
Santikkkkk,0
Indah,0
"Masya allah cantiknya km ayu luar dalam aminnn,,semoga ayu sukses dlm karirnya aminnnn",0
Masa allah cantik nya kk ayu tingting,0
Cantikkk????,0
Cantik banget ka??,0
"Sehat dan bahagia selalu teteh ayu,,,??????",0
Cantik amat sih ay????@ayutingting92,0
Ok banget,0
Cantik banget????????????,0
Wow bidadari depok cantik bangat????????,0
Kuch suka gaya ka ayu kren.sht sllu and trs sukss ????,0
Ayu ayu kapan sih jeleknya kamu,0
Cantik mba,0
Bagusan dirimu mbak ayu pakek hijab,0
Aduh neng cantik amat sih,0
Kerren banget non??,0
pagi bunda selamat beraktifitas semoga hari ini lebih baik di hari yang kemarin amin @ayutingting92,0
Perasaan makin cantik yakk @ayutingting92,0
Ka ayuuu ???????? cantik ny ko trllu sih??????????,0
diusahain jgn yg seksi2 sayang soalnya aurat keliatan,0
Wow kece badai,0
"aku bukannya ngesok inimah, kalo kata guru saya orang yang memakai pakaian  tapi seperti telanjang/memakai baju ketat itu nggak bakal mencium bau syurga, itu yang memakai pakaian kalo kayak mbak ayu kan memang memakai pakaian tapi auratnya mbak tolong dijaga",0
mbak ayu lebih cantik lagi kalau berhijab??????,0
emang ga dua deh ayu cantikkkk bangattttttt??????????????,0
Stylex Korea bgt... Jd tmbah muda Dan cantik teeh...????????,0
Kenapa cantik sih kaa??? ????,0
ayu yang cantik...boleh gk sekali2 klw lg hut tv atw acara2 besar pake baju yg setelan jas komplit dng dasi2x..selama ini kn anggun2 terus,0
Yg aku suka gaya nya..... ABG,0
Kak ayu badannya makin keren??,0
Asliii ini mah gak keliatan udh jandaa.. makin geulis neng ayu...,0
"@Maaf bunda ngak salah itu, gaun nya terlalu merecet (pas)  pdhl bunda nya udh cantik, sayang yach bunda, maaf aq sangat kritis terhadap idola berat qu ????",0
Gadis depok cantik bgt ??????,0
Neng cupi emg geulis gda obat ????,0
Makin cantik aza nih cewek??,0
Baek2 pke bju ny kak??,0
"Bangga za mngkin brpnmpilan bgini ya,,,,,",0
"Ingat woy, SEKSI MU DI DUNIA, MAKA SIKSA MU DI AKHIRAT.",0
Ingat akherat,0
Gak takut dosa emang,0
astagfirullah auratttttttttt,0
"Inget yg diatas, dunia mulu dicari...",0
Ingin rasanya memiliki mu??,0
"Jgn dilihat, semua yg dilihat akan diminta pertanggung jawaban di akhirat nanti @muhammad.wanza @riskifebrianda @rizki_maulizaputra @hafis.syirazi97 @ademaulana4949",0
Assalamu'alaikum wr wb...mohon maaf kak aurat itu jangan di umbar ya kak ...Allah tau loh,0
Lain kali jangan begitu kan itu masuk neraka,0
"Istighfar mba ingat akhirat,,,",0
"Ya Allah,  emang gak ada2 malu Nya,",0
"Cobalah neng cupita mari sama2 kmbli kejalan yg bener biar nnti pas diakhirt kita tidak nyesel, tobat neng tobat hayyuk",0
Astagfirullah ingat dosa atauh mbak sungguh????,0
. sayang banget neng Cupi dah cantik coba agak ketutup kesan nya mahal,0
Cantikk ..,0
"Pengen halalin tapi gaji ku cuman umr, halu doang dh ??",0
Cantik bgt dn terlihat berkelas bgtttt bkn kaya orang Indonesia ??,0
