salah,benar
gya,gaya
now,sekarang
jedderrr,jeder
jujurni,jujur ini
apartment,apartemen
jedder,jeder
sepeti,seperti
sononya,sananya
berlobang,berlubang
gppa,tidak apa apa
keg,kayak
aminn,amin
aamiin,amin
badanya,badannya
aurot,aurat
abg,abang
baanngg,abang
bang,abang
banggg,abang
banng,abang
bg,abang
bngggg,abang
bui,penjara
tong,abang
ad,ada
adaaa,ada
adaaaaa,ada
da,ada
ngadi,ada
adl,adalah
ademm,adem
andem,adem
ade,adik
adek,adik
adekkkk,adik
dd,adik
dde,adik
dede,adik
dedek,adik
dek,adik
debay,adik bayi
debaynya,adik bayinya
adekku,adikku
adenya,adiknya
dedenya,adiknya
aaduhhh,aduh
adh,aduh
adohhh,aduh
adu,aduh
aduhaii,aduh
aduhaiii,aduh
aduhh,aduh
aduuh,aduh
aduuhhhh,aduh
aduuih,aduh
aduuuh,aduh
aduuuuh,aduh
beeeh,aduh
beyy,aduh
duh,aduh
duhh,aduh
duhhh,aduh
hadehh,aduh
haduhh,aduh
haduhhh,aduh
waduhh,aduh
waduhhh,aduh
waduuhh,aduh
waduujj,aduh
wduh,aduh
adohay,aduhai
aduhay,aduhai
aga,agak
agag,agak
agk,agak
rada,agak
agresip,agresif
agungkn,agungkan
agst,agustus
aaaa,ah
aaaaaa,ah
aah,ah
aahhhh,ah
ach,ah
ahh,ah
ahhh,ah
ahhhh,ah
ahhhhh,ah
ahhhhhh,ah
ahhhhhhh,ah
aiighhh,ah
akh,ah
argh,ah
aaaaasudahlah,ah sudahlah
piawai,ahli
asi,air susu ibu
akn,akan
grass root,akar rumput
akhirr,akhir
ending,akhir
akerat,akhirat
akherat,akhirat
ahirnya,akhirnya
akhirny,akhirnya
endingnya,akhirnya
finally,akhirnya
akhlaq,akhlak
action,aksi
aktiv,aktif
on,aktif
aa,aku
aing,aku
ak,aku
akoh,aku
akoooh,aku
akuu,aku
akuuu,aku
akuuuu,aku
ane,aku
ane,aku
aq,aku
aqu,aku
daku,aku
eike,aku
eyke,aku
gu,aku
gua,aku
gua,aku
gue,aku
gue,aku
gueee,aku
guehhhh,aku
gw,aku
gw,aku
gwa,aku
gwe,aku
i,aku
i,aku
kku,aku
ku,aku
kuch,aku
me,aku
my,aku
q,aku
qu,aku
qw,aku
saia,aku
says,aku
sy,aku
sya,aku
vgw,aku
w,aku
w,aku
iloveyou,aku cinta kamu
sayanmenjadi,aku menjadi
halaa,alah
alhmdllh,alhamdulillah
allaaah,allah
allaah,allah
Alloh,Allah
alloh,allah
awooohhh,allah
almh,almarhumah
alphad,alphard
amatt,amat
ambyarr,ambyar
amiiin,amin
aminnn,amin
aminnnn,amin
amit2,amit amit
ampunnn,ampun
ank,anak
abege,anak baru gede
abg,anak baru gede
anaku,anakku
anaknyaaa,anaknya
andaii,andai
andaikn,andaikan
anehh,aneh
sagne,ange
anggp,anggap
buzzet,anggarannya
buzzetnya,anggarannya
member,anggota
speak up,angkat bicara
angkt,angkatan
ajay,anjay
anjayy,anjay
anjayyyyy,anjay
ajg,anjing
ajing,anjing
anj,anjing
anjg,anjing
anying,anjing
anyinggg,anjing
doggies,anjing
doggy,anjing
njing,anjing
ajir,anjir
anj,anjir
anj***,anjir
anjerr,anjir
anjiiiirrr,anjir
anjiir,anjir
anjimmm,anjir
anjirr,anjir
anjirrr,anjir
anjirrr,anjir
anjirrrrr,anjir
anjirrrt,anjir
anjirt,anjir
anjj,anjir
anjrit,anjir
anjrittt,anjir
anjrot,anjir
jir,anjir
jirr,anjir
jirrr,anjir
njem,anjir
njier,anjir
njimmmm,anjir
njir,anjir
njirr,anjir
njirrr,anjir
njirrrrr,anjir
Njirrrrrr,anjir
njr,anjir
antaraaa,antara
anuhhhh,anu
anugrah,anugerah
anux,anunya
bool,anus
Boooolllllll,anus
boooolllllll,anus
boolna,anusnya
ap,apa
apaa,apa
ape,apa
naonn,apa
apa2,apa apa
apaansi,apa sih
appan,apaan
apaasiii,apaan sih
pa,apaan sih
apalgi,apalagi
aplgi,apalagi
apem,apam
apeeeemmmmm,apem
apmnya,apemnya
ngacoo,asal
asem,asam
adsoiiy,asik
asikk,asik
asikkkk,asik
maknyos,asik
uwuuww,asik
aseli,asli
aselii,asli
asliii,asli
asliiiii,asli
aslikkk,asli
ori,asli
real,asli
tulen,asli
tullen,asli
aslinyaaa,aslinya
 asamara,asmara
assalamu'alaikum,assalamualaikum
assalla'mualaikum,assalamualaikum
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagaaaaa,astaga
bujug,astaga
bujuug,astaga
asstagfirullaah,astagfirullah
asstagfirullah,astagfirullah
astafirllah,astagfirullah
astafirulloh,astagfirullah
astagfirulloh,astagfirullah
astaghfirloh,astagfirullah
astaghfiruallaah,astagfirullah
astgfirullah,astagfirullah
astgfrullah,astagfirullah
ajib,asyik
asikk,asyik
asikkk,asyik
asyiikkkk,asyik
ats,atas
ato,atau
atw,atau
atwpun,ataupun
auraa,aurat
aurad,aurat
aurai,aurat
auratt,aurat
auratttt,aurat
auratttttttttt,aurat
aurooottt,aurat
auratmuu,auratmu
aurate,auratnya
auratny,auratnya
aurotnya,auratnya
auto,automatis
allw,aw
aww,aw
awww,aw
ayahh,ayah
abah,ayah
ayoklah,ayo
ayoo,ayo
ayook,ayo
ayooo,ayo
hayooo,ayo
hayu,ayo
hayyuk,ayo
hyu,ayo
kuy,ayo
kuyy,ayo
pls,ayo
yok,ayo
yu,ayo
